AREACD,AREANM,Population change,Natural change,Net international migration,Net within UK migration
E07000011,Huntingdonshire,8.797099683,3.765954766,0.915759944,4.070453007
E07000012,South Cambridgeshire,11.81286774,4.233234532,2.678854992,4.852141021
E07000026,Allerdale,-0.163915811,-2.108807241,0.157291603,1.77175574
E07000027,Barrow-in-Furness,-4.304294943,-0.463213928,0.031404152,-3.888091604
E07000028,Carlisle,1.4604894,0.850241666,0.131190077,0.483639928
E07000029,Copeland,-2.421000311,-1.005212612,0.354626576,-1.798309252
E07000030,Eden,0.186581668,-2.698057149,0.339901036,2.546448853
E07000031,South Lakeland,-0.030893537,-4.308231032,0.46300625,3.799698126
E07000032,Amber Valley,4.865261946,0.218511307,0.176355263,4.442167421
E07000033,Bolsover,4.796177603,0.661119942,1.620727995,2.494354131
E07000034,Chesterfield,2.471060507,0.696883713,0.623294092,1.121478698
E07000035,Derbyshire Dales,1.896744236,-3.460478253,0.081534228,5.262179371
E07000036,Erewash,5.606674037,1.896259112,0.223497038,3.454506648
E07000037,High Peak,2.430459801,0.860936136,0.181285589,1.387889148
E07000038,North East Derbyshire,2.758328306,-1.540427005,0.617823944,3.664400236
E07000039,South Derbyshire,9.866385101,2.835818297,0.188224509,6.808405968
E07000040,East Devon,7.587642378,-4.736743812,0.935601611,11.39130295
E07000041,Exeter,7.332453487,4.427515274,9.378732483,-6.303525572
E07000042,Mid Devon,5.734560151,1.258693326,0.934917476,3.533987631
E07000043,North Devon,3.303125928,-0.881262994,0.909398618,3.267055405
E07000044,South Hams,3.875634126,-2.720825229,0.470702543,6.127023617
E07000045,Teignbridge,7.312027854,-1.888451195,0.880231978,8.298572505
E07000046,Torridge,8.431027399,-1.772682549,1.035296197,9.160281441
E07000047,West Devon,7.073053309,-2.975964708,0.763897537,9.255198956
E07000048,Christchurch,8.955801823,-4.861931284,0.406608657,13.41307807
E07000049,East Dorset,5.318756027,-4.548397574,0.860249626,9.006504035
E07000050,North Dorset,6.176397269,-0.765136622,1.039858498,5.891914795
E07000051,Purbeck,3.788609024,-2.289228785,0.19616151,5.886619804
E07000052,West Dorset,4.903814368,-4.877400807,0.280951723,9.49282537
E07000053,Weymouth and Portland,2.066907027,-1.8344068,-0.240373864,4.1441214
E07000061,Eastbourne,7.727057269,-1.420267868,0.683688399,8.488173877
E07000062,Hastings,5.093904339,2.471552497,-0.346029286,2.964343865
E07000063,Lewes,10.26550878,-1.072007184,0.852644909,10.47894644
E07000064,Rother,7.432749799,-6.11265403,0.548006554,12.99919904
E07000065,Wealden,10.14640248,-1.917489792,1.168613437,10.88754959
E07000066,Basildon,8.465153862,5.160215506,0.50830042,2.769083132
E07000067,Braintree,7.325716221,1.877044423,0.449086536,4.977267198
E07000068,Brentwood,8.87132362,1.719797274,0.310479461,6.790675444
E07000069,Castle Point,3.947138496,-1.889615254,0.414955398,5.427450243
E07000070,Chelmsford,7.076424507,3.203705155,1.21848524,2.619432834
E07000071,Colchester,10.83088047,4.997352632,3.67447043,2.197869554
E07000072,Epping Forest,10.70543918,3.656700819,1.433875978,5.577851781
E07000073,Harlow,9.268247341,7.266111631,3.414441369,-1.438996982
E07000074,Maldon,4.854504294,-1.572815306,0.658973144,5.769400222
E07000075,Rochford,4.864579828,0.173735735,0.210772313,4.480293745
E07000076,Tendring,6.461115407,-4.446729387,-0.015286084,10.94057047
E07000077,Uttlesford,14.90167114,2.730165891,1.041741187,11.1148784
E07000078,Cheltenham,6.263968242,3.079147276,1.896133259,1.296381985
E07000079,Cotswold,6.10405232,-1.818650284,0.80244987,7.145162352
E07000080,Forest of Dean,4.715210435,-1.262504578,1.227181912,4.785096107
E07000081,Gloucester,9.167273687,5.779522849,2.099057374,1.286486353
E07000082,Stroud,7.062375428,-0.748713207,0.671699154,7.122598236
E07000083,Tewkesbury,11.93807589,1.65165888,2.579950487,7.667567239
E07000084,Basingstoke and Deane,9.155653302,5.254212231,0.181055928,3.670887392
E07000085,East Hampshire,5.445781633,-0.450009472,0.110289826,5.794061171
E07000086,Eastleigh,10.03801064,4.360407694,0.752652636,4.88747272
E07000087,Fareham,6.23017066,-0.629362565,0.610160138,6.252849541
E07000088,Gosport,3.244720982,1.446066836,0.099541068,1.696541579
E07000089,Hart,4.203169753,2.82984916,0.368636185,0.956754345
E07000090,Havant,4.31639386,-0.084345102,0.493295326,3.914415069
E07000091,New Forest,6.147802114,-2.620636239,1.867992616,6.895710708
E07000092,Rushmoor,3.35478509,6.44526189,0.016590356,-3.14724353
E07000093,Test Valley,6.458277655,1.325286608,0.345423372,4.767348282
E07000094,Winchester,7.509246546,1.465832265,-0.331613186,6.459511629
E07000095,Broxbourne,8.152094378,5.534249167,0.92969797,1.663070411
E07000096,Dacorum,10.40464621,5.264714473,0.894747542,4.184081706
E07000098,Hertsmere,9.726505023,4.321262861,0.455779557,4.90506753
E07000099,North Hertfordshire,10.78702851,3.118805105,0.030027349,7.5722168
E07000102,Three Rivers,9.660611366,3.112265031,0.020119077,6.475768576
E07000103,Watford,14.76818972,8.763856326,0.683766423,5.230341303
E07000105,Ashford,11.73916275,4.039685869,1.320891937,6.367079813
E07000106,Canterbury,7.670376559,-0.184970632,7.502511956,0.599862708
E07000107,Dartford,13.31996799,6.62293726,2.133574101,4.502702475
E07000108,Dover,5.422978884,-0.667148503,1.191293563,4.896445315
E07000109,Gravesham,10.13018321,5.420737079,3.869161168,0.818494328
E07000110,Maidstone,11.89388888,3.241504658,2.842515216,5.77521805
E07000111,Sevenoaks,8.776325237,2.34379498,1.305793704,5.086038599
E07000112,Shepway,6.499439039,-0.773058962,1.429720025,5.832463666
E07000113,Swale,11.18119213,3.327795639,2.595337031,5.249757718
E07000114,Thanet,9.803643093,0.36797242,1.848261076,7.607581646
E07000115,Tonbridge and Malling,9.723543266,3.698249467,0.658311851,5.35446605
E07000116,Tunbridge Wells,5.714683813,2.525645507,0.723401141,2.410890821
E07000117,Burnley,0.173720983,2.69787079,0.171421889,-2.70612818
E07000118,Chorley,9.590763079,1.886789745,0.792943938,6.865917012
E07000119,Fylde,4.507747124,-4.922269771,0.252638599,9.139068494
E07000120,Hyndburn,-1.056588807,3.097257806,0.765559977,-4.92674208
E07000121,Lancaster,4.408653085,0.720671752,9.315923927,-5.445187027
E07000122,Pendle,1.577654471,4.320029027,2.862805358,-5.633598217
E07000123,Preston,1.493160308,4.753425936,3.388732312,-6.545503829
E07000124,Ribble Valley,2.931396154,-2.740104362,0.437343034,5.223991831
E07000125,Rossendale,4.46569617,2.296471158,0.396820935,1.740625155
E07000126,South Ribble,1.724625014,1.618721166,0.575836819,-0.499256263
E07000127,West Lancashire,1.710724186,-0.065703632,2.435993326,-0.593296105
E07000128,Wyre,3.137400515,-4.165650531,1.270492584,6.027219459
E07000129,Blaby,6.781907849,2.808535764,1.05647485,2.88936105
E07000130,Charnwood,10.97932195,2.835769829,6.865058796,1.466949114
E07000131,Harborough,8.18277447,0.041070111,1.022009383,7.095263662
E07000132,Hinckley and Bosworth,7.036603403,1.51832154,0.89878889,4.587299106
E07000133,Melton,5.965924084,1.003519388,0.147286218,4.795454414
E07000134,North West Leicestershire,5.959443902,1.357738704,1.015174889,3.562372713
E07000135,Oadby and Wigston,2.835813738,-0.398120647,3.082551356,0.276484251
E07000136,Boston,8.054326356,1.962359529,15.93589682,-9.878718565
E07000137,East Lindsey,4.100067499,-4.550917819,1.057482907,7.586106935
E07000138,Lincoln,4.09059079,4.180432481,4.110368423,-4.009704445
E07000139,North Kesteven,7.423556744,0.085205631,1.194625794,6.118976224
E07000140,South Holland,7.921704557,-0.965569202,6.276740814,2.580286603
E07000141,South Kesteven,8.265737649,0.432747402,1.17646286,6.630206573
E07000142,West Lindsey,6.606287171,-0.589335913,1.134547452,6.057952317
E07000143,Breckland,7.194896964,-0.623821469,2.909762433,4.894668928
E07000144,Broadland,4.902271037,-2.437085877,0.95304118,6.370917187
E07000145,Great Yarmouth,4.004165247,-0.726661784,3.534427426,1.192699663
E07000146,King's Lynn and West Norfolk,5.441009754,-0.342686598,1.900304169,3.86820652
E07000147,North Norfolk,5.727240382,-5.423779807,2.698176446,8.439597447
E07000148,Norwich,7.711776152,7.107406765,9.656040861,-8.970932233
E07000149,South Norfolk,12.54409337,0.741818283,0.772478713,11.00594307
E07000150,Corby,16.73885184,6.006382071,5.281345929,5.403802254
E07000151,Daventry,5.687255401,0.524754457,1.344923243,3.79511324
E07000152,East Northamptonshire,6.780177707,0.783205041,0.452034437,5.528243528
E07000153,Kettering,9.344373078,3.716885855,1.767323739,3.827860783
E07000154,Northampton,10.39822954,6.801530594,6.436868552,-2.846203907
E07000155,South Northamptonshire,7.361525892,1.133816802,0.85597118,5.34625363
E07000156,Wellingborough,5.658057164,3.881354419,2.398041749,-0.642380272
E07000163,Craven,2.052084613,-3.217591656,-0.155405181,5.407233926
E07000164,Hambleton,2.271240362,-0.791400012,0.957555413,2.082440534
E07000165,Harrogate,1.339192671,-1.061263136,-1.793456979,4.175151368
E07000166,Richmondshire,-1.518014429,0.43679341,0.100918222,-2.02017289
E07000167,Ryedale,3.814405392,-2.932637478,0.774395287,5.964984523
E07000168,Scarborough,0.272076932,-3.060479773,0.688148975,2.655356202
E07000169,Selby,7.250651756,1.483504235,1.117244774,4.616359358
E07000170,Ashfield,7.166915265,2.610364285,0.700024108,3.835247838
E07000171,Bassetlaw,3.11947518,-0.027039948,1.586350577,1.543736802
E07000172,Broxtowe,6.702431007,2.246345897,3.322937714,1.103928447
E07000173,Gedling,6.83801051,1.642248095,0.118843561,5.045304448
E07000174,Mansfield,3.421542529,2.270263346,2.194930995,-1.077213758
E07000175,Newark and Sherwood,6.485700676,0.498686,1.235680412,4.739972031
E07000176,Rushcliffe,7.887512994,0.740387655,1.050186233,6.101096977
E07000177,Cherwell,6.910906858,4.020848549,2.456313742,0.385287718
E07000178,Oxford,6.914686049,7.145833245,16.23449258,-16.21750065
E07000179,South Oxfordshire,5.244580191,2.151590448,-0.19237085,3.252302747
E07000180,Vale of White Horse,8.248860067,2.898923689,3.172339286,2.143342729
E07000181,West Oxfordshire,8.04645639,2.136470677,1.241829365,4.618543282
E07000187,Mendip,5.947156102,0.083659809,0.994750299,4.869522065
E07000188,Sedgemoor,10.03629785,0.96698383,1.976392941,7.088250072
E07000189,South Somerset,5.486985457,0.096094119,1.019965113,4.360526861
E07000190,Taunton Deane,7.502434382,-0.230030693,1.390307899,6.317337329
E07000191,West Somerset,0.851704584,-5.893314144,0.873003202,5.878853286
E07000192,Cannock Chase,2.957951598,2.135663014,0.637906113,0.161477517
E07000193,East Staffordshire,5.578483382,2.855820342,2.347882514,0.34382159
E07000194,Lichfield,3.860969319,-1.570569387,0.721582243,4.684378766
E07000195,Newcastle-under-Lyme,4.259533238,0.355116962,3.812570402,0.146539457
E07000196,South Staffordshire,2.798784013,-2.372266949,0.514145949,4.640103631
E07000197,Stafford,4.144477911,-0.179676769,1.839169252,2.49363
E07000198,Staffordshire Moorlands,1.478536724,-2.479768688,0.335912644,3.614129349
E07000199,Tamworth,1.657614209,3.352361046,0.600032294,-2.314959481
E07000200,Babergh,3.888669991,-2.446583048,-0.519572946,6.843122037
E07000201,Forest Heath,12.55151129,6.807625846,-4.481105353,10.19861146
E07000202,Ipswich,5.031386826,5.589133577,-1.725406776,1.137524804
E07000203,Mid Suffolk,6.635893763,-0.482125322,-0.096345476,7.200214715
E07000204,St Edmundsbury,4.047093329,0.960587513,-0.753338176,3.810947051
E07000205,Suffolk Coastal,2.597195007,-3.719688463,-1.035502779,7.350372279
E07000206,Waveney,2.910411684,-1.841109729,0.047710359,4.700304668
E07000207,Elmbridge,7.022184951,5.04825585,-4.754501882,6.684986443
E07000208,Epsom and Ewell,13.13749791,4.978222671,2.226076259,5.917452945
E07000209,Guildford,9.977234511,4.665338956,11.12119454,-5.738342116
E07000210,Mole Valley,5.70727543,-0.35258785,-1.379148295,7.409749241
E07000211,Reigate and Banstead,12.60132608,4.1054627,1.316530456,7.119601617
E07000212,Runnymede,10.92738899,4.218534001,7.816575165,-1.024847679
E07000213,Spelthorne,8.883199507,3.805117018,1.054230135,3.975130941
E07000214,Surrey Heath,4.422789102,1.357571958,-0.711135543,3.738005526
E07000215,Tandridge,9.437876575,1.238996808,1.212281008,6.94533764
E07000216,Waverley,5.900802568,0.671285581,0.654826224,4.584186907
E07000217,Woking,5.923263296,5.222910108,-1.361117686,1.990581348
E07000218,North Warwickshire,2.124388656,-0.520198459,0.608617637,2.01662725
E07000219,Nuneaton and Bedworth,4.017817172,2.753940818,-0.206619618,1.445897447
E07000220,Rugby,8.686420316,3.077681997,1.595329941,3.973802958
E07000221,Stratford-on-Avon,4.648284903,-2.081748529,1.857591527,4.845754375
E07000222,Warwick,4.774708221,3.21014716,1.098630079,0.451929964
E07000223,Adur,8.81323032,0.570244806,0.726199772,7.494650214
E07000224,Arun,9.977761919,-3.247160079,2.683335063,10.53981541
E07000225,Chichester,7.092211883,-2.651651227,1.404225307,8.392543826
E07000226,Crawley,10.82243293,7.877132268,5.600698431,-2.72555829
E07000227,Horsham,7.131499775,-0.120691612,1.221699496,6.010069747
E07000228,Mid Sussex,8.996136743,1.366388109,1.422225819,6.173628886
E07000229,Worthing,8.947419938,-1.293097,0.246004349,9.964218066
E07000234,Bromsgrove,5.341844067,-1.733983155,0.286108741,6.765024196
E07000235,Malvern Hills,6.134141372,-4.875137818,1.215027026,9.793358271
E07000236,Redditch,1.540921342,4.442938166,1.626017615,-4.563576643
E07000237,Worcester,5.299214623,5.431688511,1.503975803,-1.605149419
E07000238,Wychavon,6.103187182,-0.733481384,2.356225869,4.458757806
E07000239,Wyre Forest,2.808401836,-0.527383139,0.355328804,2.959792012
E07000240,St Albans,10.56792639,6.518294032,-0.2653449,4.238513519
E07000241,Welwyn Hatfield,12.35508981,4.584965492,11.51203022,-3.616496769
E07000242,East Hertfordshire,10.68813758,4.261560842,2.084327344,4.283828284
E07000243,Stevenage,8.379976076,5.75037623,1.157623091,1.431737901
E08000001,Bolton,4.411533479,4.431200225,1.800255793,-1.813810494
E08000002,Bury,5.227400504,3.554475041,1.751683803,-0.102210116
E08000003,Manchester,9.611710859,9.614185436,8.454803132,-8.404457069
E08000004,Oldham,4.355714074,5.26064814,2.570767028,-3.476987319
E08000005,Rochdale,2.481131999,4.41370193,1.263739305,-3.208650541
E08000006,Salford,10.43690323,6.507775235,5.610263879,-1.725609949
E08000007,Stockport,5.302628827,2.813238898,0.580889883,1.873938723
E08000008,Tameside,3.759136622,3.202451356,0.462761886,0.068732457
E08000009,Trafford,8.257492659,4.172500872,0.656012933,3.387062169
E08000010,Wigan,3.794679613,1.88476084,1.519340549,0.365738871
E08000011,Knowsley,1.365635701,2.989234638,0.379540637,-2.004207567
E08000012,Liverpool,4.757185292,4.137580522,5.695479058,-5.037570836
E08000013,St. Helens,3.328789704,1.377203615,0.405342944,1.520452438
E08000014,Sefton,1.209708324,-1.209288353,0.504432513,1.900502017
E08000015,Wirral,1.805780227,0.298609851,-0.058389559,1.548906222
E08000016,Barnsley,6.755121748,2.136610063,1.322261188,3.273697894
E08000017,Doncaster,1.588331678,1.707980765,1.352585247,-1.503911917
E08000018,Rotherham,3.191396597,1.966135677,1.120478448,0.090103247
E08000019,Sheffield,6.71949333,4.212640321,7.394139412,-4.774226624
E08000021,Newcastle upon Tyne,5.868966383,4.342161776,10.57579649,-8.879299729
E08000022,North Tyneside,4.668189042,1.173338153,0.062356566,3.393451897
E08000023,South Tyneside,2.025876254,-0.134076101,1.725158464,0.418313986
E08000024,Sunderland,1.81085504,0.652908748,3.780386652,-2.62121081
E08000025,Birmingham,8.008003416,9.058595724,4.759031436,-5.750763912
E08000026,Coventry,14.90353992,8.124704104,14.366946,-7.512805193
E08000027,Dudley,2.796296702,2.429331849,0.568510132,-0.217043554
E08000028,Sandwell,8.388979111,6.738360636,4.489085535,-2.851481173
E08000029,Solihull,5.665058231,1.907553418,0.303466035,3.436123933
E08000030,Walsall,5.859530504,4.704750529,1.655760899,-0.503529174
E08000031,Wolverhampton,5.717841939,4.898886445,4.432378904,-3.624435422
E08000032,Bradford,4.693681955,6.826606026,3.886220149,-6.000535372
E08000033,Calderdale,5.286401505,3.098757683,1.34215709,0.82178078
E08000034,Kirklees,6.488237068,4.574800346,3.200043884,-1.270514102
E08000035,Leeds,6.474012414,5.322900868,3.477025168,-2.243528582
E08000036,Wakefield,4.678125595,2.32163352,1.923838414,0.401129985
E08000037,Gateshead,2.352744882,0.914123758,0.339821683,1.075709079
E09000001,City of London,20.17623341,4.10595132,27.6979301,-11.87592981
E09000002,Barking and Dagenham,19.74972781,13.9983909,10.70271201,-4.96843333
E09000003,Barnet,15.25751473,8.348177209,10.00987808,-3.181912297
E09000004,Bexley,11.74796554,5.905643449,3.248664515,2.576235477
E09000005,Brent,11.44792364,10.61917399,16.62647195,-15.8787117
E09000006,Bromley,12.35446772,5.597234149,2.167835109,4.527650481
E09000007,Camden,17.30262317,8.224346291,23.30880245,-14.29371693
E09000008,Croydon,12.18554798,8.836136973,5.070910359,-1.765739439
E09000009,Ealing,7.918078706,9.869787942,7.412688361,-9.455443395
E09000010,Enfield,13.77800381,9.535449393,7.74141031,-3.539183598
E09000011,Greenwich,15.21297954,11.95730662,9.251978489,-6.067979666
E09000012,Hackney,16.39079985,14.6550504,6.517475049,-4.973811829
E09000013,Hammersmith and Fulham,6.452701489,9.07452526,1.754845531,-4.546514251
E09000014,Haringey,12.17856961,11.70628913,14.89390675,-14.56243375
E09000015,Harrow,10.71923979,8.37695024,9.352266271,-7.086496562
E09000016,Havering,12.58892631,4.16623392,2.286449873,6.110667528
E09000017,Hillingdon,16.12729259,9.63954495,11.07986172,-4.594017983
E09000018,Hounslow,13.93442862,11.25735669,12.14983472,-9.572731381
E09000019,Islington,16.57668699,10.12194407,17.79138756,-11.51802225
E09000020,Kensington and Chelsea,2.824000322,6.42831622,-0.440885042,-3.260782671
E09000021,Kingston upon Thames,16.2457198,8.005869626,12.36320484,-4.137371619
E09000022,Lambeth,11.03223995,11.69404234,7.001640067,-7.908243606
E09000023,Lewisham,14.41688451,12.72723701,7.568841148,-5.999537366
E09000024,Merton,11.26250885,11.31272338,3.486462595,-3.664291615
E09000025,Newham,17.40534276,16.88530358,31.93915459,-31.50466918
E09000026,Redbridge,16.41924471,11.45598447,9.090223817,-4.19882397
E09000027,Richmond upon Thames,13.91215066,8.810165042,1.476171224,3.545190778
E09000028,Southwark,14.25837913,13.4239595,13.51185214,-12.82107291
E09000029,Sutton,12.69915052,6.50592073,1.939975331,4.189298445
E09000030,Tower Hamlets,25.14526704,14.92517356,21.56954444,-11.53595544
E09000031,Waltham Forest,11.65084304,12.08031629,12.8135645,-13.33028569
E09000032,Wandsworth,9.963643991,13.84941655,-0.875595343,-3.241636277
E09000033,Westminster,15.62960308,7.68335601,24.67634056,-16.86005187
